"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
40,85427311.266112,6601.34930467606,1945,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",7.72744595005734e-05
40,85427311.266112,4345925.50610532,1946,FALSE,4,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.0508727881247188
40,85427311.266112,67368.8814138956,1953,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.000788610579162873
40,85427311.266112,35238.8121149018,1961,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.000412500541017035
40,85427311.266112,1259160.8522892,1973,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.0147395585045025
40,85427311.266112,78065046.511569,1976,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.913818372070624
42,6853853.99938677,5658002.78738699,1953,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.825521347243933
42,6853853.99938677,0.00411063432693481,1961,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",5.99755163635321e-10
42,6853853.99938677,27532.4560390124,1976,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.00401707652971244
42,6853853.99938677,999508.407535898,1990,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.14583158725373
42,6853853.99938677,24093.4109090786,1993,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.00351530845437243
42,6853853.99938677,23438.658457906,2004,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.00341977790306054
43,10478855.7334788,10470160.1044705,1993,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.999170173802428
450,69357413.8049712,57037.0064589381,1971,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.00082236351285131
450,69357413.8049712,67886105.1266684,1990,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.978786569487148
450,69357413.8049712,75004.6299267493,1994,FALSE,3,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.001081421953501
451,629966960.346928,35989469.2693495,1931,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.0571291377718124
